Time,Ignition_Timing,Differential_Pressure_Sensor_Voltage,Knock_Correction,Fuel_Temperature,Secondary_Wastegate_Duty_Cycle,Idle_Speed_Control_Valve_Step,Intake_VVT_Advance_Angle_Left
9.565,-38.5,0.66,62.0,-30,43.922,4,107
9.622,-38.5,0.66,62.0,-30,43.922,4,107
9.68,-38.5,0.66,62.0,-30,43.922,4,107
9.739,-38.5,0.66,62.0,-30,43.922,4,107
9.797,-38.5,0.66,62.0,-30,43.922,4,107
9.855,-38.5,0.66,62.0,-30,43.922,4,107
9.913,-38.5,0.66,62.0,-30,43.922,4,107
9.971,-38.5,0.66,62.0,-30,43.922,4,107
10.029,-38.5,0.66,62.0,-30,43.922,4,107
10.087,-38.5,0.66,62.0,-30,43.922,4,107
10.145,-38.5,0.66,62.0,-30,43.922,4,107
10.203,-38.5,0.66,62.0,-30,43.922,4,107
10.261,-38.5,0.66,62.0,-30,43.922,4,107
10.32,-38.5,0.66,62.0,-30,43.922,4,107
10.378,-38.5,0.66,62.0,-30,43.922,4,107
10.436,-38.5,0.66,62.0,-30,43.922,4,107
10.494,-38.5,0.66,62.0,-30,43.922,4,107
10.552,-38.5,0.66,62.0,-30,43.922,4,107
10.61,-38.5,0.66,62.0,-30,43.922,4,107
10.669,-38.5,0.66,62.0,-30,43.922,4,107
10.727,-38.5,0.66,62.0,-30,43.922,4,107
10.785,-38.5,0.66,62.0,-30,43.922,4,107
10.843,-38.5,0.66,62.0,-30,43.922,4,107
10.901,-38.5,0.66,62.0,-30,43.922,4,107
10.959,-38.5,0.66,62.0,-30,43.922,4,107
11.017,-38.5,0.66,62.0,-30,43.922,4,107
11.076,-38.5,0.66,62.0,-30,43.922,4,107
11.134,-38.5,0.66,62.0,-30,43.922,4,107
11.192,-38.5,0.66,62.0,-30,43.922,4,107
11.25,-38.5,0.66,62.0,-30,43.922,4,107
11.307,-38.5,0.66,62.0,-30,43.922,4,107
11.365,-38.5,0.66,62.0,-30,43.922,4,107
11.423,-38.5,0.66,62.0,-30,43.922,4,107
11.482,-38.5,0.66,62.0,-30,43.922,4,107
11.54,-38.5,0.66,62.0,-30,43.922,4,107
11.598,-38.5,0.66,62.0,-30,43.922,4,107
11.656,-38.5,0.66,62.0,-30,43.922,4,107
11.714,-38.5,0.66,62.0,-30,43.922,4,107
11.772,-38.5,0.66,62.0,-30,43.922,4,107
11.83,-38.5,0.66,62.0,-30,43.922,4,107
11.888,-38.5,0.66,62.0,-30,43.922,4,107
11.947,-38.5,0.66,62.0,-30,43.922,4,107
12.005,-38.5,0.66,62.0,-30,43.922,4,107
12.063,-38.5,0.66,62.0,-30,43.922,4,107
12.121,-38.5,0.66,62.0,-30,43.922,4,107
12.179,-38.5,0.66,62.0,-30,43.922,4,107
12.237,-38.5,0.66,62.0,-30,43.922,4,107
12.295,-38.5,0.66,62.0,-30,43.922,4,107
12.354,-38.5,0.66,62.0,-30,43.922,4,107
12.411,-38.5,0.66,62.0,-30,43.922,4,107
12.47,-38.5,0.66,62.0,-30,43.922,4,107
12.528,-38.5,0.66,62.0,-30,43.922,4,107
12.586,-38.5,0.66,62.0,-30,43.922,4,107
12.644,-38.5,0.66,62.0,-30,43.922,4,107
12.702,-38.5,0.66,62.0,-30,43.922,4,107
12.76,-38.5,0.66,62.0,-30,43.922,4,107
12.819,-38.5,0.66,62.0,-30,43.922,4,107
12.877,-38.5,0.66,62.0,-30,43.922,4,107
12.935,-38.5,0.66,62.0,-30,43.922,4,107
12.993,-38.5,0.66,62.0,-30,43.922,4,107
13.051,-38.5,0.66,62.0,-30,43.922,4,107
13.109,-38.5,0.66,62.0,-30,43.922,4,107
13.167,-38.5,0.66,62.0,-30,43.922,4,107
13.225,-38.5,0.66,62.0,-30,43.922,4,107
13.283,-38.5,0.66,62.0,-30,43.922,4,107
13.341,-38.5,0.66,62.0,-30,43.922,4,107
13.4,-38.5,0.66,62.0,-30,43.922,4,107
13.458,-38.5,0.66,62.0,-30,43.922,4,107
13.516,-38.5,0.66,62.0,-30,43.922,4,107
13.575,-38.5,0.66,62.0,-30,43.922,4,107
13.633,-38.5,0.66,62.0,-30,43.922,4,107
13.692,-38.5,0.66,62.0,-30,43.922,4,107
13.75,-38.5,0.66,62.0,-30,43.922,4,107
13.809,-38.5,0.66,62.0,-30,43.922,4,107
13.867,-38.5,0.66,62.0,-30,43.922,4,107
13.925,-38.5,0.66,62.0,-30,43.922,4,107
13.983,-38.5,0.66,62.0,-30,43.922,4,107
14.042,-38.5,0.66,62.0,-30,43.922,4,107
14.1,-38.5,0.66,62.0,-30,43.922,4,107
14.157,-38.5,0.66,62.0,-30,43.922,4,107
14.216,-38.5,0.66,62.0,-30,43.922,4,107
14.274,-38.5,0.66,62.0,-30,43.922,4,107
14.332,-38.5,0.66,62.0,-30,43.922,4,107
14.39,-38.5,0.66,62.0,-30,43.922,4,107
14.449,-38.5,0.66,62.0,-30,43.922,4,107
14.506,-38.5,0.66,62.0,-30,43.922,4,107
14.565,-38.5,0.66,62.0,-30,43.922,4,107
14.623,-38.5,0.66,62.0,-30,43.922,4,107
14.681,-38.5,0.66,62.0,-30,43.922,4,107
14.739,-38.5,0.66,62.0,-30,43.922,4,107
14.797,-38.5,0.66,62.0,-30,43.922,4,107
14.856,-38.5,0.66,62.0,-30,43.922,4,107
14.914,-38.5,0.66,62.0,-30,43.922,4,107
14.972,-38.5,0.66,62.0,-30,43.922,4,107
15.03,-38.5,0.66,62.0,-30,43.922,4,107
15.088,-38.5,0.66,62.0,-30,43.922,4,107
15.147,-38.5,0.66,62.0,-30,43.922,4,107
15.205,-38.5,0.66,62.0,-30,43.922,4,107
15.263,-38.5,0.66,62.0,-30,43.922,4,107
15.321,-38.5,0.66,62.0,-30,43.922,4,107
15.379,-38.5,0.66,62.0,-30,43.922,4,107
15.438,-38.5,0.66,62.0,-30,43.922,4,107
15.495,-38.5,0.66,62.0,-30,43.922,4,107
15.554,-38.5,0.66,62.0,-30,43.922,4,107
15.612,-38.5,0.66,62.0,-30,43.922,4,107
15.67,-38.5,0.66,62.0,-30,43.922,4,107
15.728,-38.5,0.66,62.0,-30,43.922,4,107
15.786,-38.5,0.66,62.0,-30,43.922,4,107
15.845,-38.5,0.66,62.0,-30,43.922,4,107
15.903,-38.5,0.66,62.0,-30,43.922,4,107
15.961,-38.5,0.66,62.0,-30,43.922,4,107
16.019,-38.5,0.66,62.0,-30,43.922,4,107
16.077,-38.5,0.66,62.0,-30,43.922,4,107
16.135,-38.5,0.66,62.0,-30,43.922,4,107
16.194,-38.5,0.66,62.0,-30,43.922,4,107
16.251,-38.5,0.66,62.0,-30,43.922,4,107
16.309,-38.5,0.66,62.0,-30,43.922,4,107
16.367,-38.5,0.66,62.0,-30,43.922,4,107
16.426,-38.5,0.66,62.0,-30,43.922,4,107
16.484,-38.5,0.66,62.0,-30,43.922,4,107
16.543,-38.5,0.66,62.0,-30,43.922,4,107
16.601,-38.5,0.66,62.0,-30,43.922,4,107
16.659,-38.5,0.66,62.0,-30,43.922,4,107
16.718,-38.5,0.66,62.0,-30,43.922,4,107
16.776,-38.5,0.66,62.0,-30,43.922,4,107
16.834,-38.5,0.66,62.0,-30,43.922,4,107
16.892,-38.5,0.66,62.0,-30,43.922,4,107
16.949,-38.5,0.66,62.0,-30,43.922,4,107
17.007,-38.5,0.66,62.0,-30,43.922,4,107
17.066,-38.5,0.66,62.0,-30,43.922,4,107
17.124,-38.5,0.66,62.0,-30,43.922,4,107
17.182,-38.5,0.66,62.0,-30,43.922,4,107
17.24,-38.5,0.66,62.0,-30,43.922,4,107
17.299,-38.5,0.66,62.0,-30,43.922,4,107
17.357,-38.5,0.66,62.0,-30,43.922,4,107
17.415,-38.5,0.66,62.0,-30,43.922,4,107
17.473,-38.5,0.66,62.0,-30,43.922,4,107
17.532,-38.5,0.66,62.0,-30,43.922,4,107
17.59,-38.5,0.66,62.0,-30,43.922,4,107
17.648,-38.5,0.66,62.0,-30,43.922,4,107
17.706,-38.5,0.66,62.0,-30,43.922,4,107
17.764,-38.5,0.66,62.0,-30,43.922,4,107
17.822,-38.5,0.66,62.0,-30,43.922,4,107
17.881,-38.5,0.66,62.0,-30,43.922,4,107
17.939,-38.5,0.66,62.0,-30,43.922,4,107
17.997,-38.5,0.66,62.0,-30,43.922,4,107
18.055,-38.5,0.66,62.0,-30,43.922,4,107
18.113,-38.5,0.66,62.0,-30,43.922,4,107
18.171,-38.5,0.66,62.0,-30,43.922,4,107
18.229,-38.5,0.66,62.0,-30,43.922,4,107
18.287,-38.5,0.66,62.0,-30,43.922,4,107
18.346,-38.5,0.66,62.0,-30,43.922,4,107
18.404,-38.5,0.66,62.0,-30,43.922,4,107
18.463,-38.5,0.66,62.0,-30,43.922,4,107
18.521,-38.5,0.66,62.0,-30,43.922,4,107
18.579,-38.5,0.66,62.0,-30,43.922,4,107
18.637,-38.5,0.66,62.0,-30,43.922,4,107
18.695,-38.5,0.66,62.0,-30,43.922,4,107
18.753,-38.5,0.66,62.0,-30,43.922,4,107
18.811,-38.5,0.66,62.0,-30,43.922,4,107
18.868,-38.5,0.66,62.0,-30,43.922,4,107
18.926,-38.5,0.66,62.0,-30,43.922,4,107
18.984,-38.5,0.66,62.0,-30,43.922,4,107
19.043,-38.5,0.66,62.0,-30,43.922,4,107
19.1,-38.5,0.66,62.0,-30,43.922,4,107
19.159,-38.5,0.66,62.0,-30,43.922,4,107
19.217,-38.5,0.66,62.0,-30,43.922,4,107
19.276,-38.5,0.66,62.0,-30,43.922,4,107
19.334,-38.5,0.66,62.0,-30,43.922,4,107
19.392,-38.5,0.66,62.0,-30,43.922,4,107
19.449,-38.5,0.66,62.0,-30,43.922,4,107
19.507,-38.5,0.66,62.0,-30,43.922,4,107
19.565,-38.5,0.66,62.0,-30,43.922,4,107
19.623,-38.5,0.66,62.0,-30,43.922,4,107
19.682,-38.5,0.66,62.0,-30,43.922,4,107
19.74,-38.5,0.66,62.0,-30,43.922,4,107
19.799,-38.5,0.66,62.0,-30,43.922,4,107
19.857,-38.5,0.66,62.0,-30,43.922,4,107
19.915,-38.5,0.66,62.0,-30,43.922,4,107
19.973,-38.5,0.66,62.0,-30,43.922,4,107
20.031,-38.5,0.66,62.0,-30,43.922,4,107
20.09,-38.5,0.66,62.0,-30,43.922,4,107
20.148,-38.5,0.66,62.0,-30,43.922,4,107
20.206,-38.5,0.66,62.0,-30,43.922,4,107
20.264,-38.5,0.66,62.0,-30,43.922,4,107
20.322,-38.5,0.66,62.0,-30,43.922,4,107
20.38,-38.5,0.66,62.0,-30,43.922,4,107
20.438,-38.5,0.66,62.0,-30,43.922,4,107
20.496,-38.5,0.66,62.0,-30,43.922,4,107
20.555,-38.5,0.66,62.0,-30,43.922,4,107
20.613,-38.5,0.66,62.0,-30,43.922,4,107
20.671,-38.5,0.66,62.0,-30,43.922,4,107
20.728,-38.5,0.66,62.0,-30,43.922,4,107
20.786,-38.5,0.66,62.0,-30,43.922,4,107
20.844,-38.5,0.66,62.0,-30,43.922,4,107
20.902,-38.5,0.66,62.0,-30,43.922,4,107
20.96,-38.5,0.66,62.0,-30,43.922,4,107
21.017,-38.5,0.66,62.0,-30,43.922,4,107
21.076,-38.5,0.66,62.0,-30,43.922,4,107
21.134,-38.5,0.66,62.0,-30,43.922,4,107
21.192,-38.5,0.66,62.0,-30,43.922,4,107
21.25,-38.5,0.66,62.0,-30,43.922,4,107
21.308,-38.5,0.66,62.0,-30,43.922,4,107
